item,value
quiso quedarse,1
lleva nuevamente amenazando,1
nuevamente amenazando,1
toma,1
violaron dando,1
buscarla,2
golpea,1
debiendo cambiar,1
cambiar,1
ocultarse,1
perseguida,2
perseguida debiendo,1
perseguida debiendo desplazarse,1
debiendo desplazarse,1
verificado,4
detuvieron,6
solamente iba,1
lanzaron,6
desnudaron golpearon,1
violarla,2
dejaron ir,2
llegaba,1
públicamente eran,1
eran conocidas,1
conocidas,1
públicamente eran conocidas,1
habían dado,6
agravado,1
siente,1
agarrada,1
envió,6
aceptarlo,1
colocándole,2
debía ir,1
radicó,4
nació,4
alojar,1
coge,3
posteriormente sale,1
luego desplazarse,1
traer,1
devolvieran,2
intentar,1
intentar regresar,1
comunicándose,1
lleven,1
posteriormente da,1
pierde,1
despertar,1
deje,1
deje ir,1
accede regresando,1
regresando,2
presentando,2
allí llegó,1
aceptó empezando,1
empezando,1
rasga,1
procede accederla,1
observó,2
intenta,1
intenta gritar,1
fuera hacer,1
evitarlo,1
indicará,1
decide irse,2
matar dándole,1
era perseguida,1
facilita,1
apoya,1
radica,3
fueron retenidas,5
retenidas,6
fueron golpeadas,1
golpeadas,1
no denunciar,1
abre,1
sube,1
había hecho desplazar,1
hecho desplazar,1
despertarse,1
viste,1
queden,1
barriendo,1
ingresa,2
insultarla,1
patearla,1
merece,1
estar amenazando,1
denunciarla,1
estar andando,1
andando,1
permitir,2
coloca,3
siguió,2
oír,1
arrodilla,1
arrodilla diciéndole,1
igualmente salieron,1
intercedieron,1
vaya,2
pare,1
apuntaron,1
insiste,1
matar procediendo,1
pegarle,1
vuelve,1
perdonar,1
habla,2
auxiliaron,1
bajó,4
debía portarse,1
portarse,1
había perdonado,1
perdonado,1
desplazándose,7
deisy,1
pineda,31
invitándola,1
entablaron,1
despedir,2
forzarla,1
violentamente diciéndole,1
procediendo accederla,1
aprieta,1
asfixiarla,1
pretenderla,1
pretenderla enviándole,1
enviándole,1
negó diciéndole,1
desistió,2
debía abandonar,5
comenta,5
decide enviarla,1
enviarla,1
así mismo manifestó,1
mismo manifestó,1
fueron identificados,4
identificados,8
antes habían,3
habían abusado,1
abusado,2
antes habían abusado,1
había amenazado,1
madre,5
apuntándole,1
interceptar,1
nuevamente abusó,1
saida,1
reclutado,87
cazando,2
fueron abordados,7
abordados,7
estaban cazando,1
fueron transportados,1
poder,13
designe,2
asuma,2
desmovilizaron,3
desmovilizaron informe,1
estaba llevándose,1
llevándose,8
vincularlos,2
reclutado recibió,1
aprende,1
empieza,1
recogiendo,5
protestar,1
encargaron,5
aguantar,1
sacó,7
reclutaron,18
enviaron,5
ahí dure,1
dure,1
siempre porte,1
porte,2
fueron confirmadas,1
confirmadas,1
no haber,1
haber ratificado,1
ratificado,1
no haber ratificado,1
continuar,5
viviendo,7
cuidaran,1
poveda,13
quiroga,2
quiroga poveda,2
reclutada,20
leída,17
consulta,11
negarse,1
entrando,2
decadactilar,11
decadactilar cedula,1
cedula,45
recolectar,3
negaran,1
termina,1
soportar,1
llevado,29
allí recibió,2
hoja,22
sido interceptado,1
sindicaron,4
manifestaron,28
interrogado,4
obligado,6
patrulló,1
estaban buscando,3
buscando,12
hilder,1
invitaron,1
recogió,4
regaló,1
ingreso,1
vinculado,3
registraron,12
cruza,1
no podían,1
podían,2
podían salir,1
no podían salir,1
aprendieran,1
propuso emplearlo,1
emplearlo,1
dándose cuenta,1
era protegida,1
protegida,1
asignaron,4
después estuvo,1
responder,1
luego llegó,1
distinguió,1
reclutar,13
no averiguar,9
frente estuvo,9
fueron incorporados,3
incorporados,3
compulsaron,1
reporte,49
consignó,6
luna,22
criminalística,10
señora,1
atendiera,1
asegura,8
salí,1
viví,1
separe,1
había estudiado,1
estudiado,1
no había estudiado,1
había estudiado decidí,1
estudiado decidí,1
decidí,1
no había estudiado decidí,1
había estudiado decidí irme,1
estudiado decidí irme,1
decidí irme,1
irme,1
no había estudiado decidí irme,1
hable,2
dejaron esperando,1
empecé,1
llegaran,1
desmovilice,1
nunca porte,1
nunca estuve,2
decidió irse,4
no porto,2
porto,4
invitó,2
estando allí vio,1
allí vio,1
motivó,6
ingrese,2
allá vi,1
vi,1
ya eran,1
impresiono,1
podía entrar,1
insistió,1
enseñó,1
manejar,4
ya estando,1
ocupó,1
saldivar,1
acuerdo,1
gusta,2
quiere,1
quiere ingresar,1
salirse,1
recibí,1
respetar,1
entre,1
realizar eran,1
patrullar,1
patrullar prestar,1
prestar,7
lopez,8
manifiesta no recordar,1
no recordar,1
ocurrido,3
causado,1
perdido,2
han asesinado,1
no supieron,4
supieron,5
no regreso,2
regreso,2
comenzaron,5
preguntar,7
había llevado,1
solo recuerda,1
recuerda,4
duarte,5
aprovechándose,1
obtendría,1
duarte ortiz,2
recluto,4
adelanta,14
ofreciéndole,5
duró,5
patrullando,4
podía desmovilizarse,1
desmovilizarse,1
no podía desmovilizarse,1
presentarlo,1
emma,1
convencido,1
posteriormente decidió,1
decidió integrar,1
posteriormente decidió integrar,1
comentó,1
comunicaron,3
había asesinado,4
no fueron,3
no fueron asesinados,1
decidieron llevarse,2
alfabética,2
entrenaron,1
ortiz entrevista,4
consigno,1
debía pertenecer,1
vió,1
señor,7
había quedado,1
quedado,2
codazzi,2
incursionó,26
tenerlo,1
advirtieron,1
golpearlo,3
entregado,15
encargó,5
terminado,1
rubio,1
km,1
expulsado,1
reconocido,4
chicharon,1
delegó,1
convenció,2
remitieron,1
luego hizo,1
ser reclutada,1
respondió,2
fueran,2
no preguntaran,1
preguntaran,1
no volvía,1
volvía,1
llamar era,1
no observó,1
ubicándose,2
vereda,21
envían,1
era señalado,4
no asesinarlo,1
cumplía,1
todavía era,1
galaviz,3
habían ingresado,2
reclutó,3
afecto,1
recuperó,5
trabajó,3
posteriormente tuvo,1
constató,1
pertenece,3
había vinculado,1
acordaron,2
acordaron fugarse,1
recluta,1
ordena amarrarlo,1
volado,1
curado,1
sometieron,2
luego pasó,1
remplaza,2
igualmente conoció,1
colaborarles,1
colaborarles lavando,1
lavando,2
convirtió,1
portó,1
pasó hacer,1
ser señalado,1
dijo conocer,1
tomaran,1
allí recibieron,2
ofreció trabajar,2
manifestó no tengo,1
reclutados,2
no dio,1
carreño,4
entrevista-fpj-,1
bloque,1
quiso retirarse,1
retirarse,3
aconsejaron,1
no conoció,1
ubicado,2
recogido,2
allí estuvo,1
vistió,1
ganar,1
ayudar,1
ejerciendo,2
serna entrevista,1
ante,8
hacerles,1
ilegible,1
incorporó,5
estaba reclutando,1
reclutando,1
conocida,10
ser reclutado,1
adelantada,1
contrainsurgencia,3
eder,2
eder alfonso,2
consigna,3
era alertar,1
alertar,1
suscrita,1
yeiner,1
reclutarlo,1
era conocida,6
incorporar,2
marchena,3
concurrió,6
téllez,16
ocupando,3
jiménez,4
johan,1
desmovilizo,1
óscar,5
incentivó,1
20-21107,1
lesly,1
-20-21062,1
vizcaíno,2
concurre,1
rojano,1
dany,9
estaba prestar,1
retiró,1
rindiera,1
apareciendo,3
publica,4
calibre,1
permita,3
villera,1
declaró,2
suscribió,1
asigna,3
abstiene,2
imponerle,3
acoge,2
ivan,6
ivan roberto,1
también aparece,1
sibaja,1
posteriormente recibió,1
fue,5
iniciado,3
también hizo,1
llevo,5
estaban necesitando,1
necesitando,1
expedida,1
primitivo,1
raspachín,2
terminada,1
no conoce,1
hugo,1
hugo rafael,1
rafael,1
jaimes,12
asignada,1
persuadido,1
vincularon,1
conduciéndolo,1
finalmente pasó,1
núñez,1
bien expusieron,1
expusieron,1
salvatore,1
n136,1
improvisaron,1
más fueron,1
fueron reclutados,1
más fueron reclutados,1
propuesta,2
cuidando,1
enviaron hacer,1
después llegó,1
abandonó,9
permitió retirarse,1
luego tuvo,1
sido contactado,1
enviar,2
además señaló,1
no incorporar,1
era evitar,1
evitar,5
ordena reclutar,1
había llegado,2
llegado,8
habiéndose,3
inicialmente estuvo,1
unió,1
realizo,2
retirándose,5
4-,2
reconocer,3
rolong,1
laos,1
igualmente indicó,1
registraduría,12
491-,1
yeny durley,1
durley,1
edgar,1
sepultaron,16
fueron citadas,1
luego darles,1
darles,1
citaron,6
no volvieron,5
volvieron,7
intercambió,1
nuevamente salió,1
eran cuñadas,1
cuñadas,1
conducidas,2
presenció,3
fueron entregadas,2
entregadas,2
habían asesinado,15
allí cursa,1
fueron ordenados,4
ordenados,4
deportación,159
había extraviado,1
extraviado,1
entenderlo,1
empujaron,2
presentaron,29
darse,3
había caminado,1
caminado,1
había conocido,1
no hicieran,1
hicieran,4
caminaron,1
así darle,1
posteriormente enterrarlo,1
enterrarlo,1
hayan,6
hayan recuperado,1
recuperado,9
legalizado,2
secuestraron,2
desaparecieron,37
arrebatarle,1
embarcarse,1
sepultado,31
fueron exhumados,11
exhumados,13
fueron desplazados,3
desplazados,5
proviene,2
siguiendo,4
envío,1
desaparecerlo,3
obligándolo,3
señalaban,5
enterraron,8
identificaron,12
preguntaron,18
decidieron esperarlo,1
esperarlo,1
fueron torturados,1
torturados,2
cavar,3
salvaguardar,13
moribundo,1
caer,1
enterrado,11
preliminar,4
magdalena,3
desaparecieran,4
sacada,5
paramilitar exhumó,1
exhumó,2
estaba investigando,1
investigando,1
fotografía,43
retuvierona,1
suministrándole,1
no han,10
no han sido,6
han sido recuperados,5
sido recuperados,5
recuperados,6
no han sido recuperados,5
radicado,2
inhumarla,1
acabarían,1
constriñeron,1
aguilar,3
desapareció,31
admitio,1
era aceptada,1
aceptada,1
no era aceptada,1
salio,1
inhumado,3
inhumaron,2
sepultar,8
hacía,4
hacía pasar,1
sepultados,15
desmembrado,17
imputó,4
presuntamente era,1
solicitó,10
recogida,3
luego ser,4
ser sepultada,1
sepultada,2
luego ser sepultada,1
despojada,2
exhumado,11
ser desmembrado,2
enroló,1
participando,2
admitieron,1
no reportó,3
reportó,12
era pensionado,1
pensionado,1
revolver,2
además indicó,1
anduvo,1
sido localizado,1
ser llevado,2
haber sufrido,2
subida,1
ser sepultado,2
penetraron,5
obedece,1
desenterrado,1
enterrar,2
desplazamiento,7
cumpliendo,7
conducir,3
marca,7
acatada,1
registranentrevista,1
produce,14
sitio,2
había sido citado,1
sido citado,1
citado,9
posteriormente causarle,3
parecer incumplía,1
incumplía,1
vistiera,2
causó,14
sustraída,1
conducido,10
luego dejarlo,1
vendados,1
vendados desconociéndose,1
desconociéndose,38
contiene,8
charris charris,2
tumbando,3
inhumar,1
permitió continuar,1
recibirla,1
recibirla procedió,1
incumplir,1
manifestaron haber,1
manifestaron haber retenido,1
haber retenido,1
debía permanecer,1
indicando,4
igualmente afirma,2
hurtarse,2
abandonaron,10
pivijay,10
reporta ser,41
además relata,1
mantuvieron,13
ibíd,14
refirieron,1
refirieron haber,1
refirieron haber sido,1
luego fueron,5
referencia,6
tumbaron,5
requisaron,3
retenerlo,2
desaparecido,57
además señala,1
edmundo,3
haber ido,1
sepultado no pudieron,1
no pudieron,2
pudieron ser,2
sepultado no pudieron ser,1
no pudieron ser,1
pudieron ser hallados,1
ser hallados,1
hallados,4
sepultado no pudieron ser hallados,1
no pudieron ser hallados,1
finca,1
fueron conducidas,1
luego causarles,1
causarles,1
también fueron asesinados,1
inicialmente fueron,1
inicialmente fueron retenidas,1
transportado,2
conozca,8
presencia,4
marcaron,1
quemaron,4
también asesinaron,2
pudieron salir,1
igualmente relata,1
fueron retenidos,20
antes someterlos,1
someterlos,1
incendiaron,6
desapareciendo,1
teherán,3
avendaño,7
pedroza,1
seguidamente detuvieron,1
escucharon,3
ser sepultadas,1
sepultadas,1
además asesinaron,1
bondo,1
titulando,2
mata,1
consignaron,1
entrevistaron,2
cargar,2
amarrado,5
subido,1
llevarlos,1
presentado,1
registrando,1
partida,1
posteriormente fueron asesinados,3
no tuvieron,7
fueron desaparecidos,4
desaparecidos,4
afirmando,1
rodearon,6
militaron,1
lograron hallar,1
hallar,2
determina,2
miranda,2
amaris,1
encontraban descargando,1
descargando,1
detuvieron dejaron,1
detuvieron dejaron ir,1
dejar,12
pidieron,5
trasladaran,1
explico,1
discutir,1
llevaron desconociéndose,2
rumoró,2
habían sepultado,2
estar trabajando,1
cultivar,1
arreglar,2
permitirle,1
cancelado,1
carnet,2
allí departieron,1
redujeron,2
supo,11
durmiendo,4
desaparecida,7
viajaron,1
conseguir,3
conseguir yuca,1
yuca,2
fueron secuestrados,4
secuestrados,4
igualmente reconoce,1
inscribe,2
fueron enviados,2
enviados,2
reparar,1
convencieron,1
acompañaran,1
revisar,1
supuestamente eran,4
desconociendo,3
obtiene,1
no labora,1
labora,1
picón,1
diezmar,1
fueron hallados,3
lograr,7
determinar,60
reseña,1
sacando,3
sobrevivieron,2
infringieron,1
paramilitar dio,1
desconociendose,2
documentar,2
anunciaron,1
nunca apareció,2
había viajado,1
viajado,1
posteriormente trasladarse,1
suegro,1
salieran,6
hablaran,1
mencionar,1
fueron sustraídos,2
sustraídos,2
podido,3
podido recuperar,2
recuperar,6
aceptando,4
impidió,1
impidió continuar,1
no regresó,6
haber asesinado,1
enamorarla,1
reintegrarla,1
celebraría,1
recogería,1
originó,7
no cancelar,2
debieron,7
debieron desplazarse,3
era oriundo,1
oriundo,1
vive,2
estar averiguando,1
averiguando,2
toco huir,1
fueron sepultados,11
rolando,1
desparecido,2
presume,1
presume eran,1
arriaron,1
montar,1
sustrajeron,2
cumple,3
paramilitar desconociéndose,1
luego darle,2
hicieron parar,1
parar,2
fueron degollados,1
degollados,1
han recuperado,2
enith,3
angel,1
encontraban celebrando,1
celebrando,1
tengan,1
vivia,1
venderlo,4
sepan,1
ajusticiado,1
acredita,11
respondieron,3
habían llevado,3
embriagó,1
sacado,29
habían matado,2
matado,2
clips,7
preguntó,4
descargar,2
así mismo obligaron,1
mismo obligaron,1
podían encontrarse,1
encontrarse,6
víctima,3
becerra,3
intentó impedir,1
llevaran,1
desmayó,1
investigarlo,1
pudieron comprobar,1
comprobar,1
había abusado,1
torturaron,3
bajarse,2
sindicándolo,2
no encontrarlo,3
encontrarlo,5
encontrarlo decidieron,1
no encontrarlo decidieron,1
encontrarlo decidieron llevarse,1
no encontrarlo decidieron llevarse,1
recuperándose,1
obtuvo,4
espera,2
investigar,4
también haciéndole,1
haciéndole,2
haciéndole conocer,1
también haciéndole conocer,1
enterraran,2
denunció,4
abordó,3
había sido enterrado,1
sido enterrado,1
resuelve condenar,1
condenar,1
desviaron,1
ordenaron bajar,1
prosiguiendo,1
detuvieron descargaron,1
descargaron,1
regresaría,1
copia,4
sindicó,1
decidió salir,5
decidió salir corriendo,1
salir corriendo,1
lanzarse,1
alcanzado,1
habían sucedido,1
había criado,1
criado,1
torturaran,2
posteriormente trasladarlo,1
pararon,2
exhibió,1
fuera aceptado,1
reportarlo,1
subirlo,1
había sido recuperado,1
sido recuperado,2
pasaría,1
entregaran,1
recuperada,1
dice estaba,1
acompañara,1
liñan estando,1
guiar,1
era robada,1
robada,1
replegó,1
liberaron,2
han realizado,4
no aparece,1
esté adelantando,1
adelantando,1
andrade478,1
convidaron,2
hurtó,2
esposaron,2
enunciando,2
duran,1
tiraron,3
maltraron,1
formula,112
carpeta,8
jesus,1
no llegó,1
martinez,7
folio,1
ejecutada,2
acreditar,10
acreditando,1
tarazona,1
ejecutarse,1
aportar,2
firma,2
no obtuvieron,1
obtuvieron,2
coger,1
dispondría,1
negociar,3
atribuyendo,1
walter,3
bien entregarlos,1
entregarlos,2
reuniría,1
simularía,1
aún no han,1
aún no han sido,1
han sido identificadas,1
sido identificadas,1
identificadas,1
aún no han sido identificadas,1
no han sido identificadas,1
dispersaron,1
habían aprehendido,1
aprehendido,4
ya habían aprehendido,1
fueron dejados,2
dejados,3
también ingresó,1
encontraban reposando,1
reposando,2
obedeciendo,11
enterados,2
fueron advertidos,1
advertidos,1
no subieran,1
subieran,2
podía pasar,1
indirectas490,1
billar,5
acusaban,4
conociéndose,6
montaño,2
acamparon,1
suministraron,6
confesaron,3
ordenar,1
había ejecutado,1
placa,1
fueron aprehendidas,1
aprehendidas,2
guajiro,1
inhumó,1
sepulveda,1
haciéndose,2
haciéndose pasar,2
hicieron conducir,1
aprehendieron,3
impartió,3
indirectas496,1
cogieron,4
ocasionó,1
sostuvo,2
intercedió,1
perdonó,1
practicó,9
hallando,1
yesica,1
nunca aparecieron,1
aparecieron,6
penetró,2
sepultó,3
está,2
asignando,2
indirectas502,1
acompañaría,1
concretar,2
había acordado,1
acordado,1
haber perpetrado,1
perpetrado,1
indirectas503,1
silvera,3
allí fueron retenidos,1
haber negociado,1
negociado,2
era comandada,1
comandada,1
habían cometido,2
encontraban patrullando,1
separar,1
desviando,1
navarro,2
había sido citada,1
sido citada,1
citada,1
haber estado,2
fueron sacados,7
sacados,7
hayan sido,1
hayan sido exhumados,1
sido exhumados,1
remitiendo,1
comunica,4
bajado,3
estaba recibiendo,2
fueron subidos,2
subidos,2
fueron bajados,1
bajados,1
posteriormente fueron bajados,1
argumentó,1
originaron,2
luego trasladarlo,1
pineda cedula,1
caratula,6
becerra pineda,2
temiendo,2
desaparecerla,3
certifique,1
remite,2
iba saliendo,1
hicieron despedir,1
capataz,1
reunir,1
iniciarse,1
dando poder,1
regresarse,1
informada,2
estaba buscando,2
no fuera,1
después decidió,1
decidió trasladarse,1
después decidió trasladarse,1
ameritó,1
transcurrido,1
brindó,1
visitando,5
luego sepultaron,1
exhumar,3
liderar,1
conllevó,1
informe no527,1
no527,1
habían quitado,1
quitado,1
dialogar,2
hicieron no tuvieron,1
iniciaron,6
lograron hablar,1
negó dar,1
no9182515,1
ordenó causarle,1
violar,2
acusó,2
haber agredido,1
habían desaparecido,1
habían desaparecido quedando,1
desaparecido quedando,1
estar gestionando,1
gestionando,1
consiguió,1
encargándose,1
llenando,2
actuaron,51
actuaron obedeciendo,1
sostiene,1
aguacatera,1
fueron desmembrarlos,1
desmembrarlos,1
cumplieron,2
haber colaborado,1
colaborado,1
medina,1
eliseo,2
desarrolló,3
convocaron,1
logrando agrupar,1
agrupar,1
desarrollaron,16
así llegaron,1
luego penetraron,2
caminar,3
irrumpió,2
apropió,2
poveda532,1
refiriéndose,4
allí fueron sacados,1
también sacó,1
no fueron encontrados,1
paramilitar ingresó,1
tellez,1
llevarle,1
ejecuto,1
fueron citados,3
citados,3
esperaron,2
estaban conformando,1
conformando,1
bustamante,4
identificarse,1
chamorro,1
incluido,1
adelmo,2
rober,1
rangel,1
olides,1
allí fueron secuestrados,1
fueron liberados,3
liberados,4
fueron recuperados,1
siboney,1
jaqueline,1
impone,2
cuadrado,4
gonzalez,8
resolvió,2
absteniéndose,4
resolverle,1
narvaez,1
dictarle,1
recluyo,1
gonzález,3
victimas,1
señalar,3
sirdec,1
sirdec encontrando,1
conducia,1
nunca llegaron,1
era hacer,1
atentar,2
adujó,1
no recuerda,1
no dejar,1
fueron enterradas,1
enterradas,1
removió,1
construir,1
obra,1
no tener,3
marta,1
jaime,1
valledupar,1
insultaron,2
traladaron,1
allí salieron,1
igualmente fueron,1
igualmente fueron hurtados,1
resolvió proferir,1
proferir,2
torció,1
sanjuan consulta,1
alexer,1
fueron apartando,1
apartando,1
prendieron,1
no sabea,1
sabea,1
accedo,1
fueron señaladas,2
separamos,1
decreta,1
vicente,1
cartilla,5
cartilla decadactilar,3
archiva,1
allí estuvieron,1
estuvieron retenidos,1
allí estuvieron retenidos,1
cumplida,1
sijyp,3
castaño,3
henry,2
rumoro,1
negociar fueron,1
negociar fueron subidos,1
adkiada,1
sofanor,5
predicó,1
iba asesinar,1
enterarse solicitó,1
causa,7
imputo,13
vendiendo,3
conozcan,1
confirmó,1
hurtada,1
intimidar,1
tiraran,2
antes apoderarse,1
invitarlo,1
realizaría,3
culminada,1
introducido,3
desmembrar,2
desparecieron,4
javier,2
familiar,1
pertenecia,1
requisar,1
luego sacaron,1
corta,1
correría,1
marcar,2
practicaran,1
hayan exhumado,2
fueron sacadas,2
sacadas,2
opusieron,1
embarcaron,3
practicado,1
imputado,2
desmembró,1
lambraño,2
aprovisionaron,1
mandaron,1
despertó,1
también era conocido,1
antes exponiendo,1
exponiendo,1
había advertido,1
advertido,1
desmembraron,5
turizo,3
bolívar bolívar,1
retenerla,2
muerta,1
no122229,1
no84313,1
estaba pidiendo,1
pidiendo,1
estaba averiguando,1
apropiada,1
individualiza,7
villalba,1
adelaida,1
causándosele,2
amorocho,1
salir desconociéndose,1
permitieron conocer,1
presentada,2
llegaron portando,1
4383,1
desaparecer,5
luego desmembraron,1
devuelta,1
tabú,1
tramitó,1
correspondiéndole,1
enterrada,2
cortó,1
sub,1
estaban departiendo,1
resultaron ser,4
ejercer,5
señalándolo,3
versa,1
señalaron,9
uso,1
causales,1
acogieron,1
fueron condenados,1
condenados,1
escorcia,3
sido convocados,2
convocados,2
fueron despojados,1
despojados,1
montado,1
no podian,1
podian,1
podian llegar,1
no podian llegar,1
picachu,1
segura,1
pescar,2
posesionarse,2
extorsionar,1
realizarle,1
sepultarlo,2
conducirlos,3
indicar,2
torturarlo,2
torturarlo ocasionándole,1
cumplió,2
permitan,1
sebastian,1
recorrer,1
penetran,1
son torturados,1
sustraer,1
hospedaron,1
vendarle,1
notar,1
eran mantenidos,1
mantenidos,1
internaron,1
persistieron,1
son aprehendidas,1
frente pivijay,1
leider,1
esquivel585,1
transportada,1
posteriormente son,2
son degolladas,1
degolladas,1
posteriormente son degolladas,1
mantenerse,1
fueron desaparecidas,4
desaparecidas,4
margoth,14
pueden estar,2
desaparece,4
fueron desmembrados,3
desmembrados,4
fueron sustraídas,1
sustraídas,1
jugando,3
jugando billar,2
concepción,3
fueron trasportadas,1
trasportadas,1
participa,1
descender,1
pivijay manifestaron,1
pivijay manifestaron procedieron,1
manifestaron procedieron,1
acompañarlos,1
estar tomando,1
luego llevarlas,1
ser colgada,1
colgada,1
luego muere,1
instalar,2
son trasladados,1
asesina,4
enterrados,3
torturarlo colocándole,1
eufrosina,1
ordena llevarlo,1
interrogarlo,3
traslada,2
montarla,1
confesó haberlo,2
haberlo,5
confesó haberlo asesinado,1
haberlo asesinado,2
confesó haberlo atado,1
haberlo atado,1
llevaron argumentando,2
ya fueron,1
ya fueron exhumados,1
halló,2
concluyó,1
olmos,1
olmos salió,1
sabido,3
señaló haberlo,1
señaló haberlo asesinado,1
acusaron,1
descuartizado,2
llevándolos,1
llevaron alegando,1
teque,1
interrogó,1
dictó,2
desacatando,1
cometió,5
jeringa,1
quitarles,1
son desmembrados,1
lanzado,11
robert,2
desacatar,1
habían arrojado,1
luego tira,1
decidió vender,1
transportó,1
piter,1
quitó,1
cadaver,1
pescando,3
arrojo,1
fueron señalados,2
son asesinados,4
eran señaladas,1
reteniendo,2
son desarticulados,1
desarticulados,1
además incineraron,1
incineraron,4
búsqueda,5
señalaron ser,2
aleman,1
forma,2
asesinan,1
asesinan tirando,1
tirando,1
desaparezcan,1
estaban flotando,1
flotando,4
perla,1
sánchez,1
embarcaran,1
estar buscando,1
ser asesinadas,1
luego ser asesinadas,1
haber ocurrido,1
hallado flotando,2
adriano,4
plasma,2
candela,1
tildaban,1
tildaron,1
quiso pagar,1
no quiso pagar,1
pizarro,6
lascario enrique,1
merilza,1
debían participar,1
participar,2
fueron saqueados,1
saqueados,1
posteriormente son asesinados,1
charris reporta,1
luego son,1
luego son asesinados,1
posteriormente aparece,1
muñoz,1
incursiona,1
retiene,1
posteriormente aparecieron,1
pivijay relataron,1
relataron,1
abandonado,1
inicialmente maltrataron,1
maltrataron,4
restrepo,11
dawar,1
son trasladadas,1
eran señalados,2
deedilfe,1
vélez,2
dialogó,1
dejará,1
después aparece,1
oponerse,4
golpeado,1
son interrogados,1
interrogados,1
fueron lanzados,2
lanzados,2
valderrama,1
tildó,1
quinchucua,3
salieron trabajar,1
no regresaron,1
cobró,1
era infiltrado,2
infiltrado,2
serna683,1
esperándolo,1
también retenido,1
chamba,1
arroja,1
luego ser asesinados,1
golpeó,1
beatriz,1
registranversión,1
luego fueron asesinadas,1
calamar,5
montó,1
arrojó,4
etilvía,1
discutió,1
son dejados,1
lópez,1
luego fueron asesinados,1
no apareció,1
retrepo,1
deambulando,1
ser torturadas,1
ser torturadas fueron,1
torturadas fueron,1
ser torturadas fueron asesinadas,1
torturadas fueron asesinadas,1
llerena,1
saúl,4
después fueron,3
después fueron asesinados,1
armando,2
arrojada,1
ser asesinada,1
cueto,2
dedicarse,1
posteriormente asesinaron,1
charry,1
manifestar,1
indagaron,1
manifestando,2
había dejado,1
cubriendo,1
incineró,1
silva,1
tanque,1
osuna,3
incinerado,7
habían sido declaradas,1
sido declaradas,1
declaradas,1
ultimando,1
ultimaron,2
había retenido,2
interroga,2
arrojando,1
iris,3
mató,1
mató ordenó,1
mató ordenó incinerarlo,1
ordenó incinerarlo,1
incinerarlo,3
sombreron,1
sombreron salió,1
había instalado,1
instalado,1
interrogada,1
estaba flotando,1
ser requerido,1
lesionado,2
villamil,3
soto,2
yanes,1
encontrarlo torturaron,1
gallar,1
posteriormente sacaron,1
lafont,1
apodera,1
suma,1
cancelada,1
finalmente son,1
finalmente son asesinados,1
marriaga,1
alfaro,2
proceden,1
orellano,1
habían sido capturados,1
sido capturados,1
capturados,1
habían invadido,1
saberse,4
civil,1
incomodó,1
dirigio,1
iinforme,1
despareció,2
auxiliar,3
identificó,1
entrevistado,1
había asístido,1
asístido,1
enterró,2
cubria,1
asesinaron siguiendo,1
retornó,3
donado,1
zúñiga,1
abortó,1
convencerlo,1
secuestrada,1
desemboca,1
maltrtaron,1
luego desaparecieron,1
libró,1
había conseguido,1
conseguido,1
jugar,2
verlo,2
ser investigado,1
investigado,1
atribuye,1
registrarse,1
cumpliría,1
culminaron,1
emprendieron,1
debían permanecer,1
no debían permanecer,1
ya habían sido,1
habían sido advertidas,1
sido advertidas,1
advertidas,1
ya habían sido advertidas,1
habían sido advertidas haciendo,1
sido advertidas haciendo,1
advertidas haciendo,1
ya habían sido advertidas haciendo,1
lleve,2
regresarían,1
más estuvieron,1
indirecta,1
asesinando,5
alejandro,1
advertir,3
estar indagando,1
indagando,1
no volvió,1
cuñado,2
más nunca apareció,1
rizo,1
informarle,2
habían sido retenidos,1
sido retenidos,1
ordena abstener,1
abstener,1
archivarla,1
leonardo,1
tocando,1
revoca,2
pistolas,1
pistolas llegaron,1
había salido,1
extraprocesal,1
farid,5
nevado,1
ariulfo,1
reconociendo,1
manifestó no tener,1
perpetrando,1
haya incursionado,1
incursionado,3
escoltar,1
sau-uri,1
dirigia,1
sorprendieron,1
posee,1
estándo,1
vista,3
aun gupo,1
gupo,1
gupo paramilitar,1
aun gupo paramilitar,1
roque,1
haya podido,1
haya podido ubicar,1
podido ubicar,1
comentaron,1
precluyendo,1
realiza,3
n9409114-29742,1
encuesta,9
defensoría,3
fabián,1
reconocido paramilitar,1
reunieron,8
rueda,4
certificación,2
anexan,1
malo acta,1
055-2004,1
053-2004,1
téllez acredita,1
llevandose,1
numero,1
soza,1
aproximadamente llegaron,1
preguntándole,1
golpearon ultrajaron,1
ultrajaron,2
manifestó aportarla,1
aportarla,1
acordando,1
asístir,1
cumplirla,1
luqueta,1
requizaron,1
sequea,1
también había,1
había pertenecido,1
pertenecido,2
también había pertenecido,1
ser torturado,1
torturado,1
sacarle,1
siguieran,2
siguieran buscando,1
arreglando,1
marcharon,1
más dando,1
despojado,3
ester,1
forzar,1
iban hacer,2
antes haber,2
haber entregado,2
antes haber entregado,1
finalizada,1
había echado,1
echado,1
también dijo,1
buscándola,1
habían lanzado,1
fueron detenidos,2
detenidos,2
fueron observados,1
observados,1
ordenando,4
solo sabe,1
no aparecieron,1
contestaron,1
habían llegado,6
había despojado,1
fueron llevadas,1
llevadas,1
fueron enterrados,2
no fueron enterrados,1
contreras,5
alegó,1
nieto,2
dijeron pertenecer,1
