item,value
aún subsiste,2
subsiste,2
corresponda,2
compone,2
consideró,2
adecuaron,2
especificado,2
deben,5
deben diferenciar,2
diferenciar,2
atacar,2
involucrar,2
no consagra,2
establece,16
retener,10
no están,2
están,9
humanizar,2
proteger,3
han constituido,2
constituido,2
han sido,9
han sido compiladas,2
sido compiladas,2
compiladas,2
encuentren,3
no incluye,2
incluye,4
prohíbe,2
prohíbe destruir,2
destruir,5
confiscar,2
no ser,5
exija,4
no estén,2
estén,2
obtener,7
correspondería,3
conoce,13
deben respetarse,2
respetarse,2
no pueden,2
pueden,4
pueden confiscarse,2
confiscarse,2
no pueden confiscarse,2
no son,2
art,6
cp,6
predica,4
fueron afectados,2
afectados,2
fueron hurtados,5
hurtados,6
decir,6
entenderse,3
atendió,5
no poseer,3
poseer,3
haya,12
haya solicitado,3
solicitado,6
procederá,3
legalizarlo,3
impondrá,6
confrontar,4
sorprendido,18
mediar,17
disparó,12
dejándolo,1
dejándolo gravemente herido,1
gravemente herido,1
herido,1
más tarde falleció,1
tarde falleció,1
impactado,1
suspendida,3
trae,6
fallece,3
practica,1
reporta,170
amplía,4
relata,118
resultó,42
revisados,1
remitido,2
fotomecánica,5
oficina,1
indica,95
recopila,3
peralta,1
secuestrado,5
hallado,10
conduce,42
renunciar,3
abandonar,76
declarado,8
eran trasladadas,1
trasladadas,8
enojó,1
devolverlo,1
trajeron,3
asesinó,17
sigue,5
hallaron,9
dispararle,5
ocasionándole,15
indicó,10
indicó ser,1
corroboró,1
elaboró,2
debían,26
debían ser,1
debían ser asesinados,1
ser asesinados,5
asesinados,49
asesinarlo,50
aspu,1
aspu sintraunicol,1
sintraunicol,1
formularon,58
ultimarlo,1
desplazó,188
planeó,6
aportaron,61
expulsión,73
laborando,11
sacarlo,4
darle,24
ejecutó,16
desplazarse,134
afirma,34
ejecutado,5
bolívar,7
asesinado,139
ubicaron,9
entró,6
procedió,41
hurtar,7
sabe,16
debió,11
estaba,101
estaba comprando,1
comprando,2
art135,1
impactarlo,8
dándose,2
ocurre,5
aduce,8
propinaron,10
permitieron establecer,6
había instaurado,3
instaurado,3
acta,151
titula,12
salió,189
citó,7
suministrarle,2
estacionar,1
abordado,42
preguntarle,6
esperando,6
manifiesta,51
acepta,197
acepta haber,2
acepta haber dado,1
haber dado,3
dado,23
alegando,2
alegando tener,1
ingresaron,52
afirmó,12
confesó,67
amarraron,26
llevaron,220
ordenó,50
expedir,1
fraudulenta,1
cadáver,61
informe,259
hija,7
dvd-147,1
dispararon,23
produjeron,6
estarían,1
había sido,17
había sido amenazado,3
sido amenazado,3
amenazado,11
cuenta,43
propinó,9
encuentra,42
camilo,1
estaban haciendo,2
llamó,6
aseguró,4
había reportado,1
reportado,7
además obran,5
obran,14
inscrito,6
clip,45
realizará,1
allí fueron,6
fueron atendidos,1
atendidos,1
allí fueron atendidos,1
impactada,1
ocasionaron,27
estableció,7
obedeció,13
participaron,22
alex,13
asesinar,38
ser señalada,3
señalada,46
alfonso,36
ayudó,1
identificar,6
ser ubicados,1
ubicados,1
